Year,﻿Distributor,Films Distributed,Gross Revenue,Revenue per Film
2018,20th Century Fox,11,1090603414,99145764.91
2018,Paramount Pictures,10,768846822,76884682.2
2018,Sony Pictures,16,1334915146,83432196.63
2018,Universal,20,1768084821,88404241.05
2018,Walt Disney,10,3135010376,313501037.6
2018,Warner Bros,19,1932451694,101707983.9
2019,20th Century Fox,11,492158921,44741720.09
2019,Paramount Pictures,9,563908126,62656458.44
2019,Sony Pictures,18,1374824330,76379129.44
2019,Universal,21,1303896396,62090304.57
2019,Walt Disney,10,3742497656,374249765.6
2019,Warner Bros,18,1570520862,87251159
